ref_no,hist_ref_no
45630,43004
45755,44267
45813,41350
45894,41019
45958,43429
45981,42116
46244,39921
46257,39986
46266,39997
46282,39992
46299,39888
46563,44423
46623,39151
46678,40049
46696,40503
46741,39895
46807,40858
46911,41546
46914,40453
47010,40212
47036,40202
47086,41590
47106,46362
47161,44411
47162,44297
47164,45221
47215,44441
47302,46177
47347,47244
47432,44802
47564,47563
47738,41329
47798,41052
47920,41676
47980,18228
48034,43775
48059,40085
48101,40164
48121,44546
48335,45183
48340,44479
48354,47396
48441,47818
48539,46424
48615,45573
48628,47402
48688,46461
48715,47790
48781,47328
48794,46487
48837,47339
48841,47247
48858,45619
48954,47356
49132,46607
49430,48838
49509,47047
49541,40424
49602,47929
49801,44611
49811,45458
49812,49722
49821,42473
50055,48378
50065,47809
50079,49839
50283,44358
50386,50176
50444,50467
50606,50605
50612,50611
50849,43934
50862,43939
50944,50947
50948,50947
50974,50973
50978,50977
51033,14717
51239,39496
51337,51336
51355,27332
51381,51380
51411,51410
51440,50347
51480,39607
52132,50399
52207,2831
10650,49401
20176,49899
37294,49623
40108,49882
40716,38925
40771,20843
40888,28658
40900,32832
40989,11963
41652,5317
41677,40381
41743,22966
42214,50742
42320,15358
42442,41125
42473,42333
42477,42358
42571,24543
42836,42041
43108,7384
43201,38960
43210,38975
43329,43140
43363,43174
43418,19213
43554,40668
43713,40314
43744,43783
43751,42089
43777,39760
43831,26219
43979,40602
43989,20788
44050,50711
44141,32142
44178,51536
44213,769
44308,8786
44330,43831
44466,40741
44542,42691
44564,43534
44569,43198
44594,43550
44595,43210
44688,41627
44712,40004
44777,42666
44791,42953
44890,42962
44901,40582
44912,42851
44964,41536
44972,19382
44994,39703
45079,44276
45194,39805
45285,40758
45306,43814
45594,42419
45693,11061
45896,41807
45900,41814
45906,42093
45966,38889
46066,43328
46103,41961
46159,44916
46253,24825
46341,42037
46379,44152
46451,42593
46481,42606
46549,45362
46628,40491
46695,40502
46724,46169
46798,40622
46831,40872
46837,30410
46928,42707
46986,22268
47064,42498
47089,42550
47122,44675
47125,45513
47146,44807
47233,44125
47298,46173
47332,41475
47580,43609
47604,43485
47779,45159
47817,41075
47840,41068
47970,42081
47998,42738
48372,44710
48638,48127
48647,47787
48819,46495
48850,45885
48880,46512
49238,48676
49285,47821
49331,47091
49632,48123
49822,48511
50019,49111
50113,49726
50252,42924
50343,50728
50351,42237
50372,41426
50416,48906
50492,42948
50511,50054
50739,50734
50850,50849
50879,43941
50940,50939
51385,39661
52155,25832
52181,45932
52208,47780
3729,49483
13633,49487
22422,50161
28663,49938
31105,48270
37651,48455
39729,48254
40674,3362
40819,30558
41434,43864
41512,35818
41518,39120
41685,24726
41756,33374
41878,11113
42461,42314
42901,40454
43062,6992
43073,38675
43147,25688
43216,38981
43318,43129
43351,43162
43377,40597
43381,40899
43404,9801
43488,42777
43492,42795
43549,39183
43762,40126
43797,40775
43806,42968
44026,6307
44044,50960
44128,43343
44239,41691
44763,40014
44771,40069
44830,42639
44868,40567
44996,41308
45105,367
45216,41747
45229,44643
45253,43788
45315,40940
45371,42866
45414,41044
45418,40962
45433,5996
45654,42070
45672,41101
45817,41352
45933,42101
45957,43428
46023,44521
46060,43322
46276,36816
46291,44531
46527,40695
46611,20411
46657,20338
46665,40511
46677,40117
46778,10885
46813,23125
46913,40452
46947,40461
46984,41613
47083,42581
47120,46550
47138,44735
47149,45255
47152,45519
47260,44337
47301,46176
47348,47245
47406,44676
47579,43606
47597,42819
47653,46001
47852,45247
47910,41692
47927,43764
48048,27988
48087,41413
48090,42082
48134,46069
48302,43063
48380,45040
48383,47272
48538,47167
48540,46425
48577,48158
48744,47324
49106,40435
49124,47292
49256,47930
49282,47810
49560,49529
49637,42561
49754,46009
50047,49282
50117,45270
50251,46655
50285,43073
50325,48859
50477,44884
50496,50498
50605,50604
50611,50610
50635,50634
50645,50644
50663,39641
50679,50678
50837,43911
50902,43885
50947,50946
50977,50976
51007,51006
51015,51014
51042,39442
51248,39400
51249,39512
51338,51337
51382,51381
51406,51405
51429,39423
3862,49889
7292,49893
15097,48215
22976,49900
27282,48397
29986,48160
39542,43044
40776,21661
40824,32012
40877,23133
41420,39210
41720,8560
41737,22028
42066,41363
42153,50679
42253,42060
42386,35198
42822,41318
42823,8301
42877,23011
42992,42395
43142,23958
43146,25574
43175,38105
43293,43105
43374,24685
43413,14877
43564,40785
43592,41861
43607,15725
43711,40312
43721,14911
43809,19905
43861,43859
43912,50836
43921,43920
44147,43378
44161,51117
44162,50773
44299,43390
44302,40304
44304,40311
44328,25925
44355,24226
44631,43222
44743,43668
44815,43689
44992,41541
45011,41299
45044,41879
45158,39788
45234,45192
45251,43787
45277,43797
45357,41621
45368,43968
45447,43989
45567,41827
45588,42413
45648,41823
45828,18639
45839,41358
45917,43401
45930,43409
45940,43414
45970,43435
46135,45897
46180,34894
46199,40228
46211,8702
46229,40235
46237,39979
46362,42042
46404,38096
46427,42589
46432,41270
46538,43321
46551,45460
46614,40799
46729,23170
46869,13116
47100,42586
47175,44416
47179,44307
47294,42497
47353,47260
47366,45322
47391,44817
47443,44826
47780,46157
47816,42708
47826,41084
47979,40093
48021,41396
48044,40358
48100,38243
48373,44727
48395,48268
48443,41658
48527,46422
48571,45568
48650,45584
48687,47876
48698,47789
48792,45608
48832,47348
48897,46521
49152,21474
49198,45998
49207,47911
49211,47985
49515,45002
49536,43710
49671,3298
49841,46344
49854,45919
50360,43876
50387,50175
50494,50493
50653,39625
50695,50346
50822,43878
50912,44092
51086,51085
51122,51121
51190,51189
51225,51224
51237,51236
51259,51258
51267,51266
51293,51292
51297,51296
51325,47401
51327,51326
51365,42166
52206,3047
3675,49482
4236,50140
9160,49419
16682,48401
17644,49947
33734,49495
39635,50662
41380,35836
41690,39709
41738,22042
41742,39297
41879,11128
41909,39106
42154,50680
42246,40050
42325,22036
42838,42046
42881,49968
43033,42847
43176,38163
43224,31232
43253,23535
43336,43148
43385,42286
43398,6065
43440,39317
43497,43491
43501,24805
43545,40377
43708,40320
43808,40764
43852,51321
43857,50804
43933,50890
43941,43888
43971,6404
44030,42865
44153,40252
44154,40270
44412,40484
44464,40738
44566,43536
44684,43657
44701,40002
44808,43686
44885,44260
44970,41530
45025,43592
45113,43083
45141,41725
45157,41732
45196,41757
45344,40948
45444,44008
45470,43997
45478,44001
45484,42864
45490,42880
45658,41092
45734,41109
45768,41220
45789,42915
45805,41343
45928,12766
45943,43417
45982,43442
46046,43306
46093,43357
46110,41655
46145,45024
46226,15965
46268,39885
46284,39930
46317,42029
46381,42054
46415,44270
46500,42600
46543,40275
46568,45251
46582,26540
46686,40525
46811,23087
46884,42273
46942,40459
47182,45225
47194,44424
47220,44320
47677,41969
47730,40184
47887,1197
47953,42730
48040,40084
48041,42722
48155,24752
48227,44874
48297,48107
48344,40608
48391,48390
48406,48407
48594,47857
48607,47192
48689,45823
48859,46504
48887,47249
48919,46526
49144,52204
49166,47429
49327,49107
49435,48979
49540,5808
49557,43723
49720,48969
49779,49742
49866,47688
50206,44142
50210,48599
50301,50303
50367,43909
50442,50474
50480,46350
50707,50706
50735,50734
50737,50736
50775,50774
50795,50794
51160,51159
51332,39588
1659,50157
14730,50264
20666,43596
22195,48153
28317,48244
38373,50488
40308,5368
40377,8681
40700,17029
41010,21400
41314,30840
42167,50682
42211,50740
42317,4396
42437,13909
42559,11786
42898,41682
43003,42421
43064,38856
43165,43178
43178,595
43282,43094
43349,43159
43376,10912
43551,14946
43581,39200
43753,42084
44081,50905
44082,51215
44129,43291
44209,39445
44215,22746
44313,11426
44353,43603
44360,43028
44410,40276
44481,44199
44644,43229
44653,43590
44691,42950
44756,24658
44780,42612
44861,40560
44937,42857
45051,41888
45078,41921
45083,43061
45107,41708
45226,39946
45439,43982
45596,41858
45691,9047
45737,41197
45756,41212
45760,41117
45814,41781
45850,41365
45960,43430
45976,31396
45989,43449
46024,43276
46028,43285
46058,43319
46175,24950
46287,3755
46316,7243
46366,40023
46371,24629
46399,42059
46497,44274
46518,40693
46552,45058
46574,44110
46605,40259
46726,40042
46761,40837
46886,41164
46919,40457
47002,40898
47147,44992
47172,44303
47383,42530
47395,45062
47425,44793
47448,44831
47546,18495
47696,41974
47714,42825
47882,79
48082,40878
48158,46434
48296,43025
48525,47162
48531,47165
48567,46432
48605,48116
48611,47318
48778,46483
48910,46524
48916,45887
49114,47295
49133,48967
49247,47497
49254,48036
49261,47941
49370,47917
49372,49121
49419,49420
49447,45299
49502,47874
49510,49348
49516,45240
49548,49327
49579,49104
49614,45049
49634,48284
49714,48298
49782,49570
50096,45350
50115,45289
50336,41437
50398,49518
50445,50461
50466,49331
50545,18829
50580,44987
50732,50731
50766,50765
50802,50801
51272,51271
51372,41438
51393,37055
51400,42238
1383,49921
14792,48217
25935,50478
40335,7412
40616,15623
40665,16000
40744,38946
40881,28446
40886,40885
40933,37510
